benchmark	target	metric	mean	SD	CI_lower	CI_upper	n_valid_folds	n_rows	n_groups
B0	task	accuracy	0.45	0.13437096247164249	0.375	0.525	10	176	10
B1a	vad_valence	roc_auc	0.594924470370899	0.09995829293144609	0.5289215764394336	0.6449433042156257	10	143	10
B1b	vad_arousal	roc_auc	0.6858789636289637	0.17044091315093693	0.5838006333943835	0.7825814844877346	10	143	10
B2	vad_dominance	roc_auc	0.6562910052910053	0.26478306564649917	0.503823544973545	0.8119523809523809	10	108	10
B3a	ans_mental_demand	roc_auc	0.8011904761904762	0.12484522325665184	0.7184375000000001	0.8779761904761905	8	99	8
B3b	ans_engagement	roc_auc	0.6305803571428572	0.11917974704285632	0.5535714285714286	0.7079613095238095	8	99	8
B3c	ans_satisfaction	roc_auc	0.7428571428571429	0.1739670953500985	0.6095238095238095	0.8476190476190476	7	60	8
B3d	trust_mean	roc_auc	0.7265625	0.26921160523435306	0.546875	0.8828125	8	60	8
